wild_mut,ALTS910101,BENS940101,BENS940102,BENS940103,BENS940104,CSEM940101,DAYM780301,FEND850101,FITW660101,GEOD900101,GONG920101,GRAR740104,HENS920101,HENS920102,HENS920103,JOHM930101,JOND920103,JOND940101,KOLA920101,LEVJ860101,LUTR910101,LUTR910102,LUTR910103,LUTR910104,LUTR910105,LUTR910106,LUTR910107,LUTR910108,LUTR910109,MCLA710101,MCLA720101,MIYS930101,MIYT790101,MOHR870101,NIEK910101,NIEK910102,OVEJ920101,QU_C930101,QU_C930102,QU_C930103,RISJ880101,TUDE900101,AZAE970101,AZAE970102,RIER950101,WEIL970101,WEIL970102,MEHP950102,KAPO950101,VOGG950101,BLAJ010101,PRLA000101,PRLA000102,QUIB020101,NAOD960101,RUSR970101,RUSR970102,RUSR970103,OGAK980101,KANM000101,NGPC000101,MUET010101,MUET020101,MUET020102,CROG050101
AA,3.0,2.5,2.5,2.4,4.0,1.0,2.0,6.0,0.0,10.0,2.4,0.0,5.0,6.0,7.0,6.0,2.0,2.0,10.0,2.0,11.0,12.0,24.0,22.0,27.0,18.0,11.0,23.0,23.0,8.0,5.0,0.34,0.0,16.0,1.0,1.0,4.0,1.0,1.0,8.0,2.2,100.0,14.0,8.0,100.0,4.0,0.0,0.75,23.4,7.6,9.0,2.09,5.5,2.5,4.0,2.0,0.0,2.0,-4.8,36.0,5.0,5.0,5.0,2.0,4.0
RA,3.0,-1.7,-1.2,-0.8,-1.6,-0.07,2.0,2.0,2.0,5.0,-0.6,112.0,2.0,2.0,3.0,-1.6,1.0,1.0,6.6,0.0,0.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,-0.08,2.92,8.0,0.09,0.11,1.0,0.39,0.25,2.0,1.5,2.0,1.0,1.0,13.0,1.0,0.0,0.8,16.8,4.6,0.0,-0.5,-2.24,0.2,0.0,1.0,0.0,1.0,-7.0,9.0,6.0,-5.5,2.0,1.0,2.0
AR,3.0,-1.7,-1.2,-0.8,-1.6,-0.07,2.0,2.0,2.0,5.0,-0.6,112.0,2.0,2.0,3.0,-1.6,1.0,1.0,6.6,0.0,0.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,-0.08,2.92,8.0,0.09,0.11,1.0,0.39,0.25,2.0,1.5,2.0,1.0,1.0,13.0,1.0,0.0,0.8,16.8,4.6,0.0,-0.5,-2.24,0.2,0.0,1.0,0.0,1.0,-7.0,9.0,6.0,-5.5,2.0,1.0,2.0
RR,6.0,5.1,5.0,4.8,2.9,1.0,6.0,6.0,0.0,10.0,4.7,0.0,7.0,8.0,9.0,10.0,5.0,7.0,10.0,2.0,32.0,9.0,18.0,38.0,32.0,60.0,28.0,19.0,40.0,8.0,6.0,0.65,0.0,16.0,1.0,1.0,7.0,1.0,1.0,8.0,2.2,100.0,16.0,11.0,100.0,4.0,1.0,0.9,29.5,9.9,14.0,2.87,8.59,5.2,7.0,0.0,4.0,0.0,-6.2,56.0,9.0,10.0,7.0,5.0,6.0
NA,0.0,0.0,0.0,-0.2,-1.7,-0.14,0.0,3.0,2.0,9.0,-0.3,111.0,1.0,2.0,3.0,-1.4,0.0,1.0,0.0,0.0,2.0,5.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,3.0,0.0,-0.16,1.78,9.0,-0.29,-0.31,1.0,0.37,0.138,1.0,1.3,8.0,1.0,0.0,60.0,0.0,2.0,0.71,17.1,4.9,0.0,-0.57,-1.77,1.1,0.0,0.0,0.0,0.0,-7.1,19.0,2.0,-3.0,1.0,0.0,2.0
AN,0.0,0.0,0.0,-0.2,-1.7,-0.14,0.0,3.0,2.0,9.0,-0.3,111.0,1.0,2.0,3.0,-1.4,0.0,1.0,0.0,0.0,2.0,5.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,3.0,0.0,-0.16,1.78,9.0,-0.29,-0.31,1.0,0.37,0.138,1.0,1.3,8.0,1.0,0.0,60.0,0.0,2.0,0.71,17.1,4.9,0.0,-0.57,-1.77,1.1,0.0,0.0,0.0,0.0,-7.1,19.0,2.0,-3.0,1.0,0.0,2.0
NR,1.0,-0.1,0.4,0.3,-1.5,0.12,0.0,2.0,2.0,6.0,0.3,86.0,0.0,1.0,1.0,-1.5,0.0,2.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,10.0,3.0,5.0,4.0,3.0,0.0,0.01,2.04,10.0,-0.1,-0.12,1.0,0.266,0.558,2.0,1.2,11.0,10.0,7.0,53.0,0.0,0.0,0.88,17.1,5.5,1.0,0.6,0.24,0.7,4.0,2.0,0.0,0.0,-7.3,4.0,3.0,-4.5,0.0,0.0,1.0
RN,1.0,-0.1,0.4,0.3,-1.5,0.12,0.0,2.0,2.0,6.0,0.3,86.0,0.0,1.0,1.0,-1.5,0.0,2.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,10.0,3.0,5.0,4.0,3.0,0.0,0.01,2.04,10.0,-0.1,-0.12,1.0,0.266,0.558,2.0,1.2,11.0,10.0,7.0,53.0,0.0,0.0,0.88,17.1,5.5,1.0,0.6,0.24,0.7,4.0,2.0,0.0,0.0,-7.3,4.0,3.0,-4.5,0.0,0.0,1.0
NN,4.0,3.6,3.3,3.6,4.7,1.0,2.0,6.0,0.0,10.0,3.8,0.0,6.0,8.0,9.0,8.0,3.0,11.0,10.0,3.0,11.0,6.0,16.0,4.0,18.0,18.0,10.0,13.0,15.0,8.0,5.0,0.38,0.0,16.0,1.0,1.0,5.0,1.0,1.0,8.0,2.2,100.0,15.0,11.0,100.0,4.0,2.0,0.8,27.4,9.0,11.0,3.6,10.0,2.5,8.0,0.0,3.0,0.0,-4.8,59.0,11.0,8.0,7.0,4.0,7.0
DA,0.0,-0.6,-0.2,-0.3,1.0,-0.08,0.0,4.0,1.0,5.0,-0.3,126.0,2.0,3.0,3.0,-1.6,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,4.0,4.0,2.0,0.0,1.0,3.0,0.0,0.04,2.37,9.0,0.05,0.07,1.0,0.299,-0.018,0.0,0.2,3.0,0.0,0.0,33.0,2.0,0.0,0.56,18.2,4.9,0.0,-0.73,-2.38,1.0,0.0,0.0,1.0,1.0,-6.9,20.0,5.0,-6.5,1.0,0.0,2.0
